"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
5.982995033E-3,6.494829163E1,2.555083412E1,1.482727067E1,1.261515617E0,1.842540584E2,5.943386361E0,1.877197031E1
2.080534935E0,6.494826924E1,2.555086091E1,1.533948598E1,8.377515674E-1,1.629195095E2,7.560490127E0,1.786110951E1
3.029205203E0,6.494824896E1,2.555085578E1,1.531511572E1,1.264488339E0,1.756640327E2,7.288313654E0,1.651368123E1
3.977954984E0,6.494823826E1,2.555086128E1,1.538986258E1,1.263821006E0,1.712224374E2,6.907817299E0,1.601244373E1
4.926778078E0,6.494822352E1,2.555085951E1,1.544814211E1,1.264488339E0,1.712102556E2,6.500378321E0,1.634843023E1
5.875671864E0,6.494821033E1,2.555086777E1,1.559401162E1,1.401651382E0,1.774862373E2,6.154318322E0,1.650267872E1
6.824629903E0,6.494820079E1,2.555088410E1,1.562696271E1,9.306822419E-1,1.715560006E2,5.879973203E0,1.676332559E1
7.810918927E0,6.494818705E1,2.555087952E1,1.578806178E1,1.347864270E0,1.834876892E2,5.717265079E0,1.700564585E1
8.809369683E0,6.494817639E1,2.555088670E1,1.633901910E1,1.066156864E0,1.881216922E2,1.087975201E1,3.145565339E1
9.808466077E0,6.494816706E1,2.555088134E1,1.659445439E1,1.347864270E0,1.710822185E2,6.063289174E0,1.769011907E1
1.080817497E1,6.494815705E1,2.555088144E1,1.704562667E1,1.439855218E0,1.623192824E2,9.198127464E0,2.707845359E1
1.180723584E1,6.494814550E1,2.555089820E1,1.770468611E1,1.573050261E0,1.725508581E2,1.368407692E1,4.093326239E1
1.280649006E1,6.494812897E1,2.555089828E1,1.803217687E1,1.573050261E0,1.684033590E2,9.949886358E0,3.019935551E1
1.380566907E1,6.494811899E1,2.555089644E1,1.831647132E1,1.538164854E0,1.757507247E2,7.975392683E0,2.456554180E1
1.480466664E1,6.494810523E1,2.555089885E1,1.814237451E1,1.538164854E0,1.757507269E2,7.975392683E0,2.456554180E1
1.580405331E1,6.494809598E1,2.555088838E1,1.854194381E1,1.450511336E0,1.835059744E2,8.383322016E0,2.640710640E1
1.680335903E1,6.494808525E1,2.555089421E1,1.896819915E1,1.361970544E0,1.727138678E2,5.242224919E0,1.667815639E1
1.780339301E1,6.494807193E1,2.555089284E1,1.972555013E1,1.093031287E0,1.772418232E2,8.961679811E0,2.875351743E1
1.880288768E1,6.494804210E1,2.555087156E1,2.031539218E1,2.253603697E0,1.790704496E2,5.100952640E0,1.639023855E1
1.980237579E1,6.494803026E1,2.555086246E1,2.051416139E1,1.909471750E0,1.737588416E2,7.120223735E0,2.304256910E1
2.080148029E1,6.494801405E1,2.555087062E1,2.086336417E1,1.909471750E0,1.776741603E2,9.191748378E0,2.991947347E1
2.180106390E1,6.494800508E1,2.555087072E1,2.098072250E1,1.586192966E0,1.812698414E2,1.177265342E1,3.852999157E1
2.280067277E1,6.494799303E1,2.555087449E1,2.131011064E1,1.635212541E0,1.803658708E2,8.391180159E0,2.742629168E1
2.380030668E1,6.494797390E1,2.555087953E1,2.145785634E1,1.958538294E0,1.838337587E2,5.271509598E0,1.697794732E1
2.479996336E1,6.494796143E1,2.555089086E1,2.151568251E1,1.635212541E0,1.798676303E2,9.803702017E0,3.177834284E1
2.579964161E1,6.494795004E1,2.555090177E1,2.133650159E1,1.570701361E0,1.742715684E2,5.295040317E0,1.686655002E1
2.679933894E1,6.494793866E1,2.555089433E1,2.156542363E1,1.458685517E0,1.801943913E2,7.747161124E0,2.381440685E1
2.779905570E1,6.494792419E1,2.555088264E1,2.190137762E1,1.620391011E0,1.882422157E2,1.147158781E1,3.727753070E1
2.879879045E1,6.494791080E1,2.555087418E1,2.197309016E1,1.732195497E0,1.888088897E2,1.396695838E1,4.548334160E1
2.979854178E1,6.494789926E1,2.555087302E1,2.230774615E1,1.620391011E0,1.773728307E2,1.037785967E1,3.252985421E1
3.079830813E1,6.494789360E1,2.555085681E1,2.288741894E1,1.494042397E0,1.803384824E2,1.306381032E1,4.045089185E1
3.179808986E1,6.494787926E1,2.555084088E1,2.326686636E1,1.417318463E0,1.842224022E2,5.241380147E0,1.628233863E1
3.279788482E1,6.494787271E1,2.555083742E1,2.363243316E1,1.299579620E0,1.803069071E2,5.182922183E0,1.612139827E1
3.379769289E1,6.494786254E1,2.555083275E1,2.386844955E1,1.463816047E0,1.827298848E2,5.173444562E0,1.574940406E1
3.479751265E1,6.494790655E1,2.555083359E1,3.702032101E1,1.497296155E0,1.792220224E2,4.801395567E0,4.649833309E0
3.579734302E1,6.494789379E1,2.555083539E1,3.725141830E1,1.493428926E0,1.767138957E2,4.781672039E0,4.545891377E0
3.679718423E1,6.494787893E1,2.555082221E1,3.771967048E1,1.657947756E0,1.882902769E2,4.770412240E0,4.467943585E0
3.779703653E1,6.494786425E1,2.555083078E1,3.728994314E1,1.464401807E0,1.876300826E2,4.717777847E0,4.320638086E0
3.879689670E1,6.494785466E1,2.555082981E1,3.788342403E1,1.182189851E0,1.847248405E2,4.722700296E0,4.250809478E0
3.979676652E1,6.494784063E1,2.555082986E1,3.765052918E1,1.293204059E0,1.844367209E2,4.720943669E0,4.181533630E0
4.079664373E1,6.494782997E1,2.555083015E1,3.809530980E1,1.253759778E0,1.812971350E2,4.721843376E0,4.126895915E0
4.179652941E1,6.494781570E1,2.555081231E1,3.861261748E1,1.518712461E0,1.882777706E2,4.712921544E0,4.043631568E0
4.279642153E1,6.494780149E1,2.555080863E1,3.909232467E1,1.568469811E0,1.843919006E2,4.698050322E0,3.978123103E0
4.379632032E1,6.494778814E1,2.555080787E1,3.934284688E1,1.558965466E0,1.821299290E2,4.692013099E0,3.919732073E0
4.479622531E1,6.494777398E1,2.555079475E1,3.929704733E1,1.541638016E0,1.919866984E2,4.681770600E0,3.887883052E0
4.579613686E1,6.494775950E1,2.555078913E1,3.817760304E1,1.504420879E0,1.932644077E2,4.667751694E0,3.825589914E0
4.679605401E1,6.494774644E1,2.555077412E1,3.894504269E1,1.529204718E0,1.987336575E2,4.660270469E0,3.772133048E0
4.779597580E1,6.494772915E1,2.555076400E1,3.862844563E1,1.605556791E0,1.998616034E2,4.660906514E0,3.720171406E0
4.879590297E1,6.494771461E1,2.555075998E1,3.809819354E1,1.558429891E0,1.996736338E2,4.651670084E0,3.697097935E0
4.979583395E1,6.494769864E1,2.555076202E1,3.778115066E1,1.498904630E0,1.963603222E2,4.647980459E0,3.674158455E0
5.079576993E1,6.494768033E1,2.555078323E1,3.715814956E1,1.504536158E0,1.799112962E2,4.646304674E0,3.638505038E0
5.179570937E1,6.494766765E1,2.555077752E1,3.721501757E1,1.530023371E0,1.830249672E2,4.635207957E0,3.628996048E0
5.279565275E1,6.494765302E1,2.555075789E1,3.741442924E1,1.579505574E0,1.929828583E2,4.632499472E0,3.607218044E0
5.379560006E1,6.494764095E1,2.555075056E1,3.738384712E1,1.545546869E0,1.953855910E2,4.630231341E0,3.581330430E0
5.479555023E1,6.494762676E1,2.555073761E1,3.780178180E1,1.573480976E0,1.985378856E2,4.629925223E0,3.557705797E0
5.579550302E1,6.494761218E1,2.555073713E1,3.782768974E1,1.561195439E0,1.937209594E2,4.627854631E0,3.539323628E0
5.679545975E1,6.494759612E1,2.555073191E1,3.761985202E1,1.589773098E0,1.926015011E2,4.628950285E0,3.520987971E0
5.779541850E1,6.494758210E1,2.555072542E1,3.757181776E1,1.581008226E0,1.928431747E2,4.626816059E0,3.523792018E0
5.879538059E1,6.494756670E1,2.555072351E1,3.709744429E1,1.560710002E0,1.904683854E2,4.628064649E0,3.522151989E0
5.979534376E1,6.494755396E1,2.555070631E1,3.669443441E1,1.563920173E0,1.980218040E2,4.628918540E0,3.521029705E0
6.079531014E1,6.494753962E1,2.555070061E1,3.619035381E1,1.556114819E0,1.977805471E2,4.631545640E0,3.517573314E0
6.179527843E1,6.494752500E1,2.555069288E1,3.626045597E1,1.605455167E0,1.975365055E2,4.634003928E0,3.514334165E0
6.279524827E1,6.494751006E1,2.555067746E1,3.601990375E1,1.605767205E0,2.033949482E2,4.633294571E0,3.515269329E0
6.379522073E1,6.494749512E1,2.555067958E1,3.548045828E1,1.580172416E0,1.975510388E2,4.633000801E0,3.515656498E0
6.479519498E1,6.494748141E1,2.555067085E1,3.534209456E1,1.502660096E0,1.984225475E2,4.637775029E0,3.509356039E0
6.579517043E1,6.494746864E1,2.555066008E1,3.580676211E1,1.507700268E0,1.976375462E2,4.644804619E0,3.500046726E0
6.679514742E1,6.494745452E1,2.555065455E1,3.567636534E1,1.587811608E0,1.932623873E2,4.649122821E0,3.494308805E0
6.779512525E1,6.494744197E1,2.555064421E1,3.534298155E1,1.587749322E0,1.956920774E2,4.649212876E0,3.494188986E0
6.879510510E1,6.494743212E1,2.555062069E1,3.516597251E1,1.586182746E0,2.063142485E2,4.644119515E0,3.500955722E0
6.979508638E1,6.494742071E1,2.555060746E1,3.553183196E1,1.607473760E0,2.068985528E2,4.646713969E0,3.497511448E0
7.079506791E1,6.494740686E1,2.555060032E1,3.550819168E1,1.610056410E0,2.011693036E2,4.649404977E0,3.493933370E0
7.179505134E1,6.494739456E1,2.555058664E1,3.584940373E1,1.625392452E0,2.008234508E2,4.650451979E0,3.492539681E0
7.279503572E1,6.494738150E1,2.555057181E1,3.592074631E1,1.601479256E0,1.997801169E2,4.652300649E0,3.490076747E0
7.379502153E1,6.494736886E1,2.555056307E1,3.559863103E1,1.571636970E0,1.975844623E2,4.650362194E0,3.492659230E0
7.479500675E1,6.494735567E1,2.555054660E1,3.583067814E1,1.579187251E0,2.008911718E2,4.651296609E0,3.491414741E0
7.579499483E1,6.494734307E1,2.555053781E1,3.565890914E1,1.571665713E0,1.987771900E2,4.651054954E0,3.491736652E0
7.679498255E1,6.494733087E1,2.555052325E1,3.585769252E1,1.581010074E0,2.001884046E2,4.651513011E0,3.491126429E0
7.779497063E1,6.494731741E1,2.555051876E1,3.594407004E1,1.587185784E0,1.947396632E2,4.652144686E0,3.490284637E0
7.879495990E1,6.494730558E1,2.555049785E1,3.617632522E1,1.601951467E0,2.055266052E2,4.653154686E0,3.488938019E0
7.979494953E1,6.494729151E1,2.555049653E1,3.617521256E1,1.596156792E0,1.941895723E2,4.653136405E0,3.488962400E0
8.079494059E1,6.494727726E1,2.555048848E1,3.671575264E1,1.610745323E0,1.949675612E2,4.653716669E0,3.488188383E0
8.179493177E1,6.494726554E1,2.555047303E1,3.688546523E1,1.585060939E0,2.014742502E2,4.654701935E0,3.486873518E0
8.279492331E1,6.494724900E1,2.555046498E1,3.625300718E1,1.651722369E0,1.969327425E2,4.651903763E0,3.490605738E0
8.379491496E1,6.494723489E1,2.555045800E1,3.647471182E1,1.610121832E0,1.967077580E2,4.644679934E0,3.500212186E0
8.479490829E1,6.494722010E1,2.555045103E1,3.621963645E1,1.555544052E0,1.963481183E2,4.641680318E0,3.504189044E0
8.579490077E1,6.494720691E1,2.555044375E1,3.630521991E1,1.480534396E0,1.984916461E2,4.643150868E0,3.502240291E0
8.679489410E1,6.494719790E1,2.555044580E1,3.650929751E1,1.102264253E0,1.950353450E2,4.660382837E0,3.479277057E0
8.779488862E1,6.494718521E1,2.555044732E1,3.648742480E1,1.143893799E0,1.904156644E2,4.674671761E0,3.460055052E0
8.879488301E1,6.494717484E1,2.555044393E1,3.632441484E1,1.025963493E0,1.948826215E2,4.672304594E0,3.463250903E0
8.979487705E1,6.494716017E1,2.555044046E1,3.627322310E1,1.107835133E0,1.956228677E2,4.686071749E0,3.444599919E0
9.079487205E1,6.494714714E1,2.555043263E1,3.630825706E1,1.116753561E0,2.003493556E2,4.685543614E0,3.445318283E0
9.179486787E1,6.494713308E1,2.555043190E1,3.622879912E1,1.138077290E0,1.999524546E2,4.690280024E0,3.438867595E0
9.279486358E1,6.494712003E1,2.555043240E1,3.659496669E1,1.101217623E0,1.986779296E2,4.696155655E0,3.430839416E0
9.379485869E1,6.494710185E1,2.555043217E1,3.687120747E1,1.219003150E0,1.962422579E2,4.687120522E0,3.443172700E0
9.479485452E1,6.494708719E1,2.555042097E1,3.678552370E1,1.243326127E0,2.012311333E2,4.689409324E0,3.440054829E0
9.579485083E1,6.494707280E1,2.555042970E1,3.694250858E1,1.109508498E0,1.947508889E2,4.681636600E0,3.450625418E0
9.679484749E1,6.494706151E1,2.555043431E1,3.711382649E1,9.397187299E-1,1.916783998E2,4.693311116E0,3.434729654E0
9.779484415E1,6.494704763E1,2.555043692E1,3.701322908E1,1.004491104E0,1.910186732E2,4.700160134E0,3.425351331E0
9.879484069E1,6.494702912E1,2.555042610E1,3.700064845E1,1.314933325E0,1.927462334E2,4.697853998E0,3.428513504E0
9.979483867E1,6.494701607E1,2.555041748E1,3.693589696E1,1.336184581E0,1.948860866E2,4.696221780E0,3.430748902E0
1.007948352E2,6.494700384E1,2.555040762E1,3.724340570E1,1.568373258E0,1.901058379E2,4.688594854E0,3.441164822E0
1.017948329E2,6.494699184E1,2.555039039E1,3.708023234E1,1.597916052E0,1.969024344E2,4.681704704E0,3.450533017E0
1.027948304E2,6.494697704E1,2.555038106E1,3.706830135E1,1.607454509E0,1.955965593E2,4.676756535E0,3.457236663E0
1.037948284E2,6.494696671E1,2.555035455E1,3.694695055E1,1.617165933E0,2.069932116E2,4.673205303E0,3.462035417E0
1.047948264E2,6.494695204E1,2.555034814E1,3.670379701E1,1.607969054E0,2.011705829E2,4.668718402E0,3.468083839E0
1.057948241E2,6.494693700E1,2.555034518E1,3.680602445E1,1.603432803E0,1.925130538E2,4.667143139E0,3.470203445E0
1.067948217E2,6.494692473E1,2.555032451E1,3.643833906E1,1.590928042E0,1.990576504E2,4.665161929E0,3.472866425E0
1.077948196E2,6.494691296E1,2.555030080E1,3.607123543E1,1.573026509E0,2.059426958E2,4.664349819E0,3.473957081E0
1.087948182E2,6.494689757E1,2.555029463E1,3.600333504E1,1.592711478E0,1.994814994E2,4.662067285E0,3.477019653E0
1.097948164E2,6.494688081E1,2.555028531E1,3.576275846E1,1.633737785E0,1.996559274E2,4.654777482E0,3.486772666E0
1.107948153E2,6.494686414E1,2.555029297E1,3.471048971E1,1.568236080E0,1.899721849E2,4.651947723E0,3.490547151E0
